Dato	Forklaring	Ut av konto	Inn på konto
17.09.2010	16.09 NARVESEN 365 LERKENDAL ST TRONDHEIM	14,00	
16.09.2010	15.09 REMA 1000 ELGESETERGT. TRONDHEIM	7,70	
14.09.2010	13.09 RIMI Leuthenhav en TRONDHEIM	31,70	
14.09.2010	13.09 A.BRUUN SPORT PRINSENSGT. TRONDHEIM	150,00	
13.09.2010	11.09 ICA Maxi Lund KRISTIANSAND	48,89	
13.09.2010	12.09 YX MONES MANDAL	72,00	
13.09.2010	10.09 KAFFEBØRSEN ELVEGT. 24 FLEKKEFJORD	110,00	
13.09.2010	*8046 09.09 NOK 170,00 FLYTOGET AS GMB	170,00	
13.09.2010	12.09 FOOD COURT INNL STAVANGER LUF	188,00	
10.09.2010	10.09 ARK JERNBANEVN 1 FLEKKEFJORD	79,00	
08.09.2010	08.09 UPPER CRUST - O JERNBANETORG OSLO	88,00	
08.09.2010	*8046 06.09 NOK 99,00 SPOTIFY.COM	99,00	
08.09.2010	07.09 BUNNPRIS ELGESETERGT. TRONDHEIM	202,81	
07.09.2010	*8046 03.09 NOK 90,00 Klæburuten	90,00	
07.09.2010	*8046 05.09 USD 17,96 LINODE.COM KURS: 6,2427	112,12	
06.09.2010	03.09 POINT INNL1 961 OSL LUFTHAVN GARDERMOEN	18,00	
06.09.2010	04.09 ROSENBORG BYÅSEN BUTIK TRONDHEIM	43,00	
06.09.2010	04.09 REMA 1000 BYÅSEN TRONDHEIM	295,21	
03.09.2010	03.09 LA BAGUETTE JERNBANETORG OSLO	58,00	
02.09.2010	*8046 30.08 NOK 1149,00 nsb.no	1149,00	
01.09.2010	31.08 COOP OBS CITY SYD TILLER	14,00	
01.09.2010	31.08 EGON CITY SYD CITY SYD TRONDHEIM	278,00	
01.09.2010	*8046 30.08 NOK 850,03 Hotels com Norway	850,03	
01.09.2010	31.08 CLAS OHLSON 832 ØSTRE ROSTEN TILLER	1036,00	
01.09.2010	31.08 COOP OBS CITY SYD TILLER	1635,75	
30.08.2010	27.08 LOCATION TRONDH PRINSENSGT.2 TRONDHEIM	68,00	
30.08.2010	*8046 24.08 NOK 491,00 SAS AIRLINE 1172362962198	491,00	
30.08.2010	*8046 24.08 NOK 549,00 NORWEGIAN A 3287055851959	549,00	
27.08.2010	26.08 REMA 1000 OLAV TRYGGVA TRONDHEIM	34,90	
24.08.2010	23.08 COOP OBS LADE HAAKON VII-S TRONDHEIM	1825,90	
23.08.2010	22.08 FJORD1 MRF 181 GOTFRED LIES MOLDE	24,00	
23.08.2010	20.08 BUNNPRIS ROMSDALSGATA MOLDE	41,89	
23.08.2010	22.08 STATOIL DOMBÅS	76,00	
23.08.2010	20.08 BUNNPRIS ROMSDALSGATA MOLDE	406,00	
16.08.2010	14.08 KYOTO DRONNINGENSG TRONDHEIM	521,00	
11.08.2010	10.08 NARVESEN 365 LERKENDAL ST TRONDHEIM	20,00	
09.08.2010	07.08 TOPPEN ISBAR KORSVIKA ALE TRONDHEIM	32,00	
09.08.2010	07.08 G- SPORT KONGENSGT. 9 TRONDHEIM	99,00	
09.08.2010	07.08 BUNNPRIS ELGESETERGT. TRONDHEIM	110,20	
09.08.2010	07.08 A.BRUUN SPORT PRINSENSGT. TRONDHEIM	198,00	
09.08.2010	06.08 REMA 1000 ELGESETERGT. TRONDHEIM	215,90	
09.08.2010	07.08 RUBY FRISØRTEAM PRINSENSGT. TRONDHEIM	350,00	
06.08.2010	05.08 BUNNPRIS ELGESETERGT. TRONDHEIM	111,20	
05.08.2010	BEKK CONSULTING AS		349,76
04.08.2010	*8046 26.07 NOK 90,00 Klæburuten	90,00	
03.08.2010	02.08 RIMI Leuthenhav en TRONDHEIM	152,78	
02.08.2010	*8046 29.07 NOK 99,00 WWW.GETWIMP.COM	99,00	
