"Dato";"Tekst";"Beløp";"Saldo";"Status";"Avstemt"
"26.08.2010";"Amazon.Com";"-843,68";"-843,68";"Utført";"Nei"
"26.08.2010";"Europark As";"-390,00";"-1.233,68";"Utført";"Nei"
"26.08.2010";"Fra: 86010551422";"500,00";"-733,68";"Utført";"Nei"
"27.08.2010";"Statoil Nardo";"-259,03";"-992,71";"Utført";"Nei"
"07.09.2010";"Fra: 86010551422";"992,71";"0,00";"Utført";"Nei"
"08.09.2010";"Flybussen";"-90,00";"-90,00";"Utført";"Nei"
"08.09.2010";"Flybussen";"-90,00";"-180,00";"Utført";"Nei"
"08.09.2010";"Flytoget As Gmb";"-130,00";"-310,00";"Utført";"Nei"
"14.09.2010";"Fra: 86010551422";"310,00";"0,00";"Utført";"Nei"
"16.09.2010";"Amazon Eu";"-629,33";"-629,33";"Utført";"Nei"
